id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
2523495706,异星灾变 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2616308032.jpg,2020-09-03(美国),https://movie.douban.com/subject/30345691/,8.1,"剧情,科幻",3,,,2020-10-06 18:46:42,
2549567354,姜子牙,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2621219978.jpg,2020-10-01(中国大陆),https://movie.douban.com/subject/25907124/,6.6,"剧情,动画,奇幻",4,,,2020-10-01 18:33:05,
2549242656,我和我的家乡,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2620453443.jpg,2020-10-01(中国大陆),https://movie.douban.com/subject/35051512/,7,"剧情,喜剧",4,,,2020-10-01 13:42:19,
2545702035,夺冠,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2620083313.jpg,2020-09-25(中国大陆),https://movie.douban.com/subject/30128916/,7.1,"剧情,运动",4,,,2020-09-27 22:16:13,
2520232106,花木兰,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2590336843.jpg,2020-09-11(中国大陆),https://movie.douban.com/subject/26357307/,4.9,"动作,冒险,古装",3,,,2020-09-05 18:26:36,
2494739074,龙岭迷窟,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2593664928.jpg,2020-04-01(中国大陆),https://movie.douban.com/subject/30488569/,8.1,"剧情,动作,冒险",4,,,2020-08-16 19:58:55,
2492069884,八佰,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2615925279.jpg,2020-08-21(中国大陆),https://movie.douban.com/subject/26754233/,7.5,"剧情,历史,战争",5,4分给电影1分给和平,,2020-08-14 23:53:02,
2297830897,王国 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2587671506.jpg,2020-03-13(韩国),https://movie.douban.com/subject/30306401/,8.3,"剧情,恐怖,古装",4,,,2020-03-20 19:43:38,
2218385621,隧道,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2370318863.jpg,2016-08-10(韩国),https://movie.douban.com/subject/26410594/,7.9,剧情,3,,,2020-02-19 11:23:13,
2216270109,王国 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2542945898.jpg,2019-01-25(韩国),https://movie.douban.com/subject/26947951/,8.6,"剧情,恐怖,古装",4,,,2020-02-18 16:35:01,
2213696500,白夜追凶,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2483150767.jpg,2017-08-30(中国大陆),https://movie.douban.com/subject/26883064/,8.9,"剧情,悬疑,犯罪",5,,,2020-02-17 18:45:04,
2211771072,寄生虫,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2561439800.jpg,2019-05-21(戛纳电影节),https://movie.douban.com/subject/27010768/,8.8,剧情,5,,,2020-02-17 00:12:34,
2128641490,非诚勿扰2,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p725272302.jpg,2010-12-22(中国大陆),https://movie.douban.com/subject/4271894/,6.6,"喜剧,爱情",,,,2020-01-10 10:28:56,
617017961,人再囧途之泰囧,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1793720172.jpg,2012-12-12(中国大陆),https://movie.douban.com/subject/10574622/,7.5,喜剧,5,没什么说的，去电影院就对了~~,"喜剧,搞笑,2012,贺岁,泰国,恶搞,温情,公路,冒险,励志",2012-12-16 23:28:38,
